word_in_text	frame	cn	frame0	frame1	frame2
absorbed	Soaking_up	12	Soaking_up		
assisted	Assistance	26	Event	Intentionally_act	Assistance
dropped	Path_shape	7	Relation	Basis_for_attribute	Locative_relation
flopped	Endeavor_failure	2	Success_or_failure	Endeavor_failure	
covets	Desiring	2	Experiencer_focus	Desiring	
scolding	Judgment_direct_address	11	Judgment_communication	Judgment_direct_address	
begun	Activity_start	5	Event	Process_start	Activity_start
planted	Placing	31	Event	Objective_influence	Transitive_action
totaled	Amounting_to	3	Amounting_to		
complied	Compliance	11	Satisfying	Compliance	
scared	Fear	1	State	Emotions	Emotions_by_stimulus
shimmered	Location_of_light	11	Attributes	Gradable_attributes	Measurable_attributes
dampened	Cause_to_be_wet	6	Event	Objective_influence	Transitive_action
combines	Cause_to_amalgamate	5	Event	Objective_influence	Transitive_action
chuck	Cause_motion	12	Event	Objective_influence	Transitive_action
shook	Body_movement	29	Being_included	Part_piece	Part_whole
employed	Using	38	Event	Objective_influence	Transitive_action
hurting	Cause_harm	3	Event	Objective_influence	Transitive_action
rivalling	Evaluative_comparison	2	Attributes	Gradable_attributes	Position_on_a_scale
included	Inclusion	38	Being_included	Part_piece	Part_whole
fell	Motion_directional	31	Event	Motion	Motion_directional
circumcise	Rite	1	Event	Intentionally_act	Rite
emphasise	Convey_importance	3	Event	Objective_influence	Transitive_action
exuded	Emitting	7	Emitting		
lunge	Self_motion	4	Event	Motion	Self_motion
reiterates	Statement	1	Event	Objective_influence	Transitive_action
carjacked	Piracy	1	Event	Misdeed	Committing_crime
crouch	Change_posture	2	Event	Intentionally_act	Change_posture
remonstrate	Judgment_communication	6	Statement	Judgment_communication	
fit	Suitability	2	Attributes	Gradable_attributes	Suitability
tugging	Cause_motion	6	Event	Objective_influence	Transitive_action
reeking	Chemical-sense_description	1	Attributes	Gradable_attributes	Chemical-sense_description
grieving	Experiencer_focus	5	Experiencer_focus		
purrs	Motion_noise	1	Event	Motion	Motion_noise
simulating	Feigning	2	Conduct	Feigning	
shivering	Body_movement	7	Being_included	Part_piece	Part_whole
followed	Relative_time	27	Relation	Relative_time	
underwent	Undergoing	13	Event	Undergoing	
reach	Arriving	42	Event	Eventive_affecting	Arriving
mystifying	Experiencer_obj	2	State	Emotions	Experiencer_obj
dice	Cutting	3	Event	Objective_influence	Transitive_action
impact	Objective_influence	6	Event	Objective_influence	
filched	Theft	8	Event	Misdeed	Committing_crime
embedded	Placing	8	Event	Objective_influence	Transitive_action
shower	Grooming	1	Event	Objective_influence	Transitive_action
threaten	Commitment	8	Event	Objective_influence	Transitive_action
totals	Amounting_to	7	Amounting_to		
change	Undergo_change	11	Event	Transition_to_state	Undergo_change
impaled	Cause_harm	11	Event	Objective_influence	Transitive_action
thinned	Cause_change_of_consistency	5	Event	Objective_influence	Transitive_action
produced	Behind_the_scenes	18	Performing_arts	Behind_the_scenes	
reach	Change_position_on_a_scale	1	Event	Change_position_on_a_scale	
avert	Preventing_or_letting	9	Event	Preventing_or_letting	
stops	Halt	1	Event	Process_stop	Activity_stop
run	Operating_a_system	5	Event	Objective_influence	Transitive_action
clanged	Make_noise	7	Perception	Make_noise	
injected	Placing	13	Event	Objective_influence	Transitive_action
pity	Others_situation_as_stimulus	6	State	Emotions	Emotions_by_stimulus
radiate	Emanating	8	Event	Motion	Emanating
gleaming	Light_movement	2	Event	Motion	Light_movement
follows	Relative_time	4	Relation	Relative_time	
guessing	Coming_to_believe	5	Event	Coming_to_believe	
pumping	Fluidic_motion	2	Event	Motion	Fluidic_motion
drowse	Sleep	2	Process_continue	Sleep	
test	Operational_testing	26	Event	Objective_influence	Transitive_action
gambol	Self_motion	1	Event	Motion	Self_motion
injected	Filling	20	Event	Objective_influence	Transitive_action
characterized	Distinctiveness	21	Attributes	Gradable_attributes	Similarity
disapproves	Judgment	2	State	Emotions	Judgment
troubling	Experiencer_obj	3	State	Emotions	Experiencer_obj
storming	Self_motion	1	Event	Motion	Self_motion
living	Living_conditions	36	Living_conditions		
soaking	Fluidic_motion	6	Event	Motion	Fluidic_motion
states	Statement	9	Event	Objective_influence	Transitive_action
tittered	Communication_noise	1	Event	Objective_influence	Transitive_action
climb	Self_motion	14	Event	Motion	Self_motion
captivates	Experiencer_obj	1	State	Emotions	Experiencer_obj
influenced	Subjective_influence	9	Event	Intentionally_act	Subjective_influence
clanged	Motion_noise	6	Event	Motion	Motion_noise
fingered	Manipulation	11	Event	Intentionally_act	Manipulation
stoning	Cause_harm	3	Event	Objective_influence	Transitive_action
vanishing	Departing	6	Event	Eventive_affecting	Departing
adorned	Filling	7	Event	Objective_influence	Transitive_action
filling	Filling	2	Event	Objective_influence	Transitive_action
winding	Motion	3	Event	Motion	
plays	Performers_and_roles	4	Performing_arts	Performers_and_roles	
pile	Placing	6	Event	Objective_influence	Transitive_action
subpoena	Documents	1	Entity	Artifact	Text
assuming	Adopt_selection	2	Deciding	Choosing	Adopt_selection
defrosting	Change_of_phase	2	Change_of_phase		
contacted	Spatial_contact	1	Relation	Basis_for_attribute	Locative_relation
detach	Detaching	8	Event	Objective_influence	Transitive_action
disappear	Ceasing_to_be	2	Event	Transition_to_state	Ceasing_to_be
separate	Differentiation	2	Mental_activity	Differentiation	
wringing	Manipulation	4	Event	Intentionally_act	Manipulation
smearing	Placing	3	Event	Objective_influence	Transitive_action
fired	Firing	29	Employment_end	Firing	
plunges	Placing	1	Event	Objective_influence	Transitive_action
identify	Categorization	2	Instance	Categorization	
rule	Leadership	13	Leadership		
acquiring	Getting	18	Event	Getting	
panning	Seeking	4	Event	Intentionally_act	Attempt
antagonised	Experiencer_obj	1	State	Emotions	Experiencer_obj
burning	Emotion_heat	7	State	Emotions	Emotion_heat
shining	Location_of_light	17	Attributes	Gradable_attributes	Measurable_attributes
smiling	Making_faces	13	Facial_expression	Making_faces	
crashing	Impact	2	Impact		
calibrated	Adjusting	9	Event	Objective_influence	Transitive_action
detached	Detaching	16	Event	Objective_influence	Transitive_action
resuscitated	Cure	7	Event	Objective_influence	Transitive_action
folded	Go_into_shape	6	Event	Go_into_shape	
teaching	Education_teaching	4	Event	Objective_influence	Transitive_action
counterattacking	Counterattack	1	Event	Objective_influence	Transitive_action
set	Scheduling	3	Event	Objective_influence	Transitive_action
slapped	Cause_harm	33	Event	Objective_influence	Transitive_action
advances	Progression	2	Event	Transition_to_state	Undergo_change
commence	Process_start	10	Event	Process_start	
joining	Becoming_a_member	10	Event	Intentionally_act	Becoming_a_member
fought	Quarreling	2	Reciprocality	Chatting	Discussion
differentiate	Differentiation	20	Mental_activity	Differentiation	
nickname	Name_conferral	1	Event	Intentionally_act	Name_conferral
oozed	Fluidic_motion	12	Event	Motion	Fluidic_motion
packing	Filling	2	Event	Objective_influence	Transitive_action
elects	Change_of_leadership	2	Event	Objective_influence	Transitive_action
shrouded	Hiding_objects	1	Event	Objective_influence	Transitive_action
lowered	Cause_change_of_position_on_a_scale	16	Event	Objective_influence	Transitive_action
rushes	Fluidic_motion	1	Event	Motion	Fluidic_motion
gasped	Communication_noise	31	Event	Objective_influence	Transitive_action
swing	Change_direction	1	Event	Motion	Change_direction
denouncing	Judgment_communication	19	Statement	Judgment_communication	
proclaiming	Statement	3	Event	Objective_influence	Transitive_action
inclined	Inclination	1	Attributes	Gradable_attributes	Inclination
experienced	Feeling	6	State	Emotions	Feeling
ruminating	Cogitation	7	Mental_activity	Cogitation	
slink	Self_motion	17	Event	Motion	Self_motion
splashing	Cause_fluidic_motion	3	Event	Objective_influence	Transitive_action
canning	Preserving	1	Event	Objective_influence	Transitive_action
gurgling	Communication_noise	1	Event	Objective_influence	Transitive_action
proceeded	Process_continue	4	Process_continue		
raging	Fire_burning	1	Fire_burning		
caused	Causation	83	Event	Eventive_affecting	Causation
sniffed	Perception_active	15	Perception	Perception_active	
attempted	Attempt_action_scenario	3	Attempt_action_scenario		
sledging	Operate_vehicle	3	Event	Objective_influence	Transitive_action
stand	Placing	6	Event	Objective_influence	Transitive_action
transferring	Transfer	2	Event	Eventive_affecting	Transfer
screens	Eclipse	2	Perception	Perception_experience	Eclipse
condemned	Sentencing	2	Event	Objective_influence	Transitive_action
type	Text_creation	6	Event	Objective_influence	Transitive_action
obliterated	Destroying	4	Event	Objective_influence	Transitive_action
show	Cotheme	4	Event	Motion	Self_motion
shown	Evidence	11	Evidence		
recounts	Statement	6	Event	Objective_influence	Transitive_action
transport	Bringing	10	Event	Objective_influence	Transitive_action
originated	Achieving_first	14	Event	Objective_influence	Transitive_action
fooled	Intentional_deception	1	Deception_end	Intentional_deception	
separated	Separating	4	Event	Objective_influence	Transitive_action
scares	Experiencer_obj	3	State	Emotions	Experiencer_obj
shook	Experiencer_obj	11	State	Emotions	Experiencer_obj
seeks	Seeking	3	Event	Intentionally_act	Attempt
plop	Impact	1	Impact		
linked	Make_cognitive_connection	3	Cognitive_connection	Make_cognitive_connection	
filled	Filling	22	Event	Objective_influence	Transitive_action
applauding	Judgment	3	State	Emotions	Judgment
tormented	Experiencer_obj	16	State	Emotions	Experiencer_obj
rain	Mass_motion	3	Event	Motion	Mass_motion
sleep	Capacity	15	Possibility	Capability	Capacity
marrying	Forming_relationships	4	Event	Intentionally_act	Forming_relationships
aim	Purpose	2	Experiencer_focus	Desiring	Purpose
crooned	Communication_noise	9	Event	Objective_influence	Transitive_action
accused	Judgment_communication	62	Statement	Judgment_communication	
confide	Reveal_secret	7	Statement	Reveal_secret	
telegraph	Contacting	1	Event	Intentionally_act	Contacting
swim	Self_motion	87	Event	Motion	Self_motion
tack	Attaching	3	Event	Objective_influence	Transitive_action
delays	Change_event_time	2	Event	Objective_influence	Transitive_action
feed	Ingestion	2	Event	Intentionally_act	Ingest_substance
decrying	Judgment_communication	4	Statement	Judgment_communication	
threatened	Commitment	44	Event	Objective_influence	Transitive_action
molded	Manipulate_into_shape	1	Event	Objective_influence	Transitive_action
sufficed	Sufficiency	2	Attributes	Gradable_attributes	Position_on_a_scale
swapping	Exchange	2	Reciprocality	Exchange	
ingested	Ingestion	9	Event	Intentionally_act	Ingest_substance
robbing	Robbery	7	Event	Misdeed	Committing_crime
pitying	Experiencer_focus	1	Experiencer_focus		
feels	Opinion	1	Opinion		
gathered	Food_gathering	8	Food_gathering		
sting	Experiencer_obj	2	State	Emotions	Experiencer_obj
get	Successfully_communicate_message	5	Event	Objective_influence	Transitive_action
examines	Inspecting	1	Scrutiny	Scrutinizing_for	Inspecting
insist	Statement	12	Event	Objective_influence	Transitive_action
hissed	Impact	2	Impact		
detonates	Explosion	1	Event	Eventive_affecting	Explosion
avowing	Statement	2	Event	Objective_influence	Transitive_action
inspired	Subjective_influence	3	Event	Intentionally_act	Subjective_influence
electrocuted	Cause_harm	5	Event	Objective_influence	Transitive_action
expunged	Removing	5	Event	Objective_influence	Transitive_action
stayed	Temporary_stay	17	State	Being_located	Visiting
burble	Communication_noise	1	Event	Objective_influence	Transitive_action
authorised	Deny_or_grant_permission	10	Event	Objective_influence	Transitive_action
jab	Cause_harm	1	Event	Objective_influence	Transitive_action
grin	Making_faces	1	Facial_expression	Making_faces	
drives	Self_motion	1	Event	Motion	Self_motion
stepped	Self_motion	110	Event	Motion	Self_motion
emits	Emitting	7	Emitting		
hears	Hearsay	2	Event	Objective_influence	Transitive_action
listened	Perception_active	14	Perception	Perception_active	
appeared	Becoming_visible	6	Event	Transition_to_state	Becoming
starts	Process_start	4	Event	Process_start	
suggest	Evidence	16	Evidence		
draining	Removing	1	Event	Objective_influence	Transitive_action
regarded	Regard	3	Judgment	Regard	
prefigures	Omen	2	Sign	Omen	
enclosed	Placing	6	Event	Objective_influence	Transitive_action
traded	Exchange	6	Reciprocality	Exchange	
discouraged	Experiencer_obj	7	State	Emotions	Experiencer_obj
burn	Perception_body	2	Perception	Perception_experience	Perception_body
dare	Daring	15	Event	Intentionally_act	Daring
yelping	Communication_noise	1	Event	Objective_influence	Transitive_action
mimic	Imitating	11	Attributes	Gradable_attributes	Similarity
dropped	Change_position_on_a_scale	47	Event	Change_position_on_a_scale	
exercise	Using	14	Event	Objective_influence	Transitive_action
baptised	Rite	13	Event	Intentionally_act	Rite
assesses	Assessing	2	Cogitation	Assessing	
revived	Cause_to_resume	13	Event	Objective_influence	Transitive_action
veered	Undergo_change	2	Event	Transition_to_state	Undergo_change
lugged	Bringing	10	Event	Objective_influence	Transitive_action
intrigue	Experiencer_obj	3	State	Emotions	Experiencer_obj
whips	Cause_harm	2	Event	Objective_influence	Transitive_action
exasperated	Experiencer_obj	12	State	Emotions	Experiencer_obj
shot	Behind_the_scenes	17	Performing_arts	Behind_the_scenes	
squeezed	Cause_to_move_in_place	1	Event	Objective_influence	Transitive_action
worked	Resolve_problem	1	Event	Intentionally_act	Resolve_problem
percolating	Fluidic_motion	2	Event	Motion	Fluidic_motion
regard	Categorization	23	Instance	Categorization	
fixing	Attaching	1	Event	Objective_influence	Transitive_action
commenced	Activity_start	13	Event	Process_start	Activity_start
cutting	Removing	1	Event	Objective_influence	Transitive_action
charge	Judgment_communication	1	Statement	Judgment_communication	
kneels	Body_movement	2	Being_included	Part_piece	Part_whole
ordered	Sentencing	14	Event	Objective_influence	Transitive_action
supply	Supply	37	Event	Eventive_affecting	Lose_possession
ends	Process_end	14	Event	Process_end	
soaking	Cause_to_be_wet	5	Event	Objective_influence	Transitive_action
jumping	Traversing	1	Event	Traversing	
believe	Opinion	4	Opinion		
pickled	Preserving	6	Event	Objective_influence	Transitive_action
ruin	Bungling	1	Event	Intentionally_act	Bungling
expect	Opinion	8	Opinion		
rusts	Corroding	3	Corroding		
strap	Attaching	3	Event	Objective_influence	Transitive_action
mince	Self_motion	3	Event	Motion	Self_motion
pare	Cutting	4	Event	Objective_influence	Transitive_action
whistling	Make_noise	3	Perception	Make_noise	
joke	Chatting	2	Reciprocality	Chatting	
laugh	Make_noise	3	Perception	Make_noise	
wreaked	Causation	7	Event	Eventive_affecting	Causation
dwindle	Change_position_on_a_scale	4	Event	Change_position_on_a_scale	
wading	Self_motion	15	Event	Motion	Self_motion
depriving	Prevent_or_allow_possession	3	Preventing_or_letting	Prevent_or_allow_possession	
typing	Text_creation	4	Event	Objective_influence	Transitive_action
segment	Separating	3	Event	Objective_influence	Transitive_action
run	Cause_impact	2	Event	Objective_influence	Transitive_action
dwells	Residence	2	Residence		
prefers	Partiality	2	Attributes	Gradable_attributes	Social_behavior_evaluation
overrun	Invading	22	Event	Objective_influence	Transitive_action
bolting	Quitting_a_place	1	Event	Eventive_affecting	Departing
confiscate	Removing	4	Event	Objective_influence	Transitive_action
indict	Notification_of_charges	2	Event	Objective_influence	Transitive_action
improved	Improvement_or_decline	6	Event	Transition_to_state	Undergo_change
win	Finish_game	2	Event	Process_end	Activity_finish
freeze	Cause_change_of_phase	6	Event	Objective_influence	Transitive_action
respond	Response	27	Event	Eventive_affecting	Response
cooed	Make_noise	2	Perception	Make_noise	
pick	Choosing	15	Deciding	Choosing	
sow	Filling	3	Event	Objective_influence	Transitive_action
met	Come_together	14	Event	Come_together	
imagine	Awareness	47	Mental_activity	Awareness	
suggests	Evoking	6	Memory	Evoking	
talked	Talking_into	6	Event	Objective_influence	Transitive_action
defected	Quitting_a_place	14	Event	Eventive_affecting	Departing
fumbled	Bungling	3	Event	Intentionally_act	Bungling
barged	Self_motion	16	Event	Motion	Self_motion
thieve	Theft	2	Event	Misdeed	Committing_crime
strikes	Cognitive_impact	2	Cognitive_impact		
signed	Hiring	13	Event	Objective_influence	Transitive_action
blockade	Change_accessibility	3	Event	Objective_influence	Transitive_action
boring	Experiencer_obj	1	State	Emotions	Experiencer_obj
air	Expressing_publicly	13	Event	Objective_influence	Transitive_action
monitored	Searching_scenario	1	State	Attention	Searching_scenario
flying	Motion	8	Event	Motion	
study	Education_teaching	18	Event	Objective_influence	Transitive_action
swiping	Theft	1	Event	Misdeed	Committing_crime
drags	Ingest_substance	1	Event	Intentionally_act	Ingest_substance
signed	Get_a_job	12	Event	Intentionally_act	Get_a_job
stagger	Self_motion	9	Event	Motion	Self_motion
classes	Categorization	2	Instance	Categorization	
growing	Ontogeny	1	Progression	Ontogeny	
saying	Text_creation	3	Event	Objective_influence	Transitive_action
sprinkle	Filling	3	Event	Objective_influence	Transitive_action
escape	Escaping	16	Event	Eventive_affecting	Departing
babbling	Communication_manner	17	Event	Objective_influence	Transitive_action
finds	Coming_to_believe	1	Event	Coming_to_believe	
approves	Deny_or_grant_permission	3	Event	Objective_influence	Transitive_action
colluded	Collaboration	7	Reciprocality	Collaboration	
serve	Sports_jargon	1	Competition	Sports_jargon	
been	Existence	11	State	Existence	
reassured	Reassuring	12	Event	Objective_influence	Transitive_action
make	Causation	15	Event	Eventive_affecting	Causation
numbering	Be_subset_of	1	Being_included	Be_subset_of	
shaken	Cause_to_move_in_place	3	Event	Objective_influence	Transitive_action
sidles	Self_motion	2	Event	Motion	Self_motion
got	Getting_up	8	Event	Intentionally_act	Change_posture
dressed	Dressing	4	Entity	Artifact	Clothing
slammed	Cause_impact	32	Event	Objective_influence	Transitive_action
rehearsing	Practice	28	Event	Intentionally_act	Practice
assaulting	Attack	1	Event	Objective_influence	Transitive_action
staggered	Self_motion	100	Event	Motion	Self_motion
reproved	Judgment_direct_address	11	Judgment_communication	Judgment_direct_address	
keeping	Retaining	1	Possession	Retaining	
bakes	Cooking_creation	1	Event	Objective_influence	Transitive_action
sob	Make_noise	4	Perception	Make_noise	
sworn	Commitment	4	Event	Objective_influence	Transitive_action
is	Existence	36	State	Existence	
losing	Losing_someone	2	Event	Losing_someone	
soaped	Grooming	3	Event	Objective_influence	Transitive_action
rousted	Removing	3	Event	Objective_influence	Transitive_action
jetting	Bringing	1	Event	Objective_influence	Transitive_action
folding	Go_into_shape	3	Event	Go_into_shape	
mark	Sign	2	Evidence	Sign	
embraced	Adopt_selection	4	Deciding	Choosing	Adopt_selection
adjust	Adjusting	8	Event	Objective_influence	Transitive_action
got	Getting	23	Event	Getting	
thrived	Thriving	10	State	Thriving	
scanned	Scrutiny	24	Perception	Perception_active	Scrutiny
reached	Arriving	40	Event	Eventive_affecting	Arriving
creaks	Motion_noise	2	Event	Motion	Motion_noise
die	Death	10	Event	Transition_to_state	Ceasing_to_be
summons	Request	1	Event	Objective_influence	Transitive_action
leaps	Self_motion	5	Event	Motion	Self_motion
bash	Cause_harm	5	Event	Objective_influence	Transitive_action
evaporated	Cause_change_of_phase	8	Event	Objective_influence	Transitive_action
descaling	Emptying	1	Event	Objective_influence	Transitive_action
shuddering	Body_movement	1	Being_included	Part_piece	Part_whole
entitles	Prohibiting_or_licensing	1	Entity	Artifact	Law
guillotined	Execution	2	Event	Objective_influence	Transitive_action
moisturise	Cause_to_be_wet	5	Event	Objective_influence	Transitive_action
count	Categorization	9	Instance	Categorization	
devour	Ingestion	5	Event	Intentionally_act	Ingest_substance
flouted	Compliance	9	Satisfying	Compliance	
splash	Cause_fluidic_motion	1	Event	Objective_influence	Transitive_action
renewing	Activity_resume	2	Event	Process_resume	Activity_resume
chanced	Daring	8	Event	Intentionally_act	Daring
indicates	Communication	4	Event	Objective_influence	Transitive_action
swiped	Removing	8	Event	Objective_influence	Transitive_action
dip	Change_position_on_a_scale	4	Event	Change_position_on_a_scale	
combed	Grooming	4	Event	Objective_influence	Transitive_action
commit	Committing_crime	8	Event	Misdeed	Committing_crime
united	Cause_to_amalgamate	4	Event	Objective_influence	Transitive_action
yelped	Make_noise	16	Perception	Make_noise	
reaffirmed	Statement	15	Event	Objective_influence	Transitive_action
endorsing	Taking_sides	2	Opinion	Taking_sides	
swarming	Mass_motion	3	Event	Motion	Mass_motion
justify	Justifying	70	Event	Objective_influence	Transitive_action
lengthened	Cause_expansion	11	Event	Objective_influence	Transitive_action
deposit	Placing	10	Event	Objective_influence	Transitive_action
scalp	Emptying	1	Event	Objective_influence	Transitive_action
scans	Reading_perception	1	Reading_activity	Reading_perception	
up	Change_posture	2	Event	Intentionally_act	Change_posture
wanders	Self_motion	4	Event	Motion	Self_motion
sip	Ingestion	3	Event	Intentionally_act	Ingest_substance
secrete	Emitting	21	Emitting		
saw	Grasp	2	Mental_activity	Awareness	Grasp
funded	Funding	5	Event	Eventive_affecting	Lose_possession
outstrip	Surpassing	8	Attributes	Gradable_attributes	Position_on_a_scale
clambering	Self_motion	14	Event	Motion	Self_motion
departs	Departing	5	Event	Eventive_affecting	Departing
flourishes	Thriving	1	State	Thriving	
revolt	Change_of_leadership	6	Event	Objective_influence	Transitive_action
blanching	Apply_heat	1	Process	Activity	Apply_heat
wrote	Text_creation	55	Event	Objective_influence	Transitive_action
clambers	Self_motion	1	Event	Motion	Self_motion
